simulation_id;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_0001;scenario1;1_1a;1_1a-1_1a_0;0.71;Q14_7;YES;Amont_C, Syst_Est_amont;1.34;0.0295;0.416;0
sim_0002;scenario1;1_1a;1_1a-1_1a_1;0.126225;Q14_7;YES;Amont_C;1.34;0.0295;0.416;0.586
sim_0003;scenario1;1_1a;1_1a-1_1a_2;0.126225;Q14_7;YES;Amont_C, Syst_Est_amont;1.34;0.0222;0.416;0.0218
sim_0004;scenario1;1_1a;1_1a-1_1a_3;0.007225;Q14_7;YES;Amont_C, Syst_Est_amont;1.31;0.0305;0.412;1.23
sim_0005;scenario1;1_1a;1_1a-1_1a_1+1_1a_2;0.022275;Q14_7;YES;Amont_C;1.34;0.0295;0.416;0.403
sim_0006;scenario1;1_1a;1_1a-1_1a_1+1_1a_3;0.001275;Q14_7;YES;Amont_C;1.31;0.0312;0.412;1.92
sim_0007;scenario1;1_1a;1_1a-1_1a_2+1_1a_3;0.001275;Q14_7;YES;Amont_C, Syst_Est_amont;1.31;0.0173;0.412;0.683
sim_0008;scenario1;1_1a;1_1a-1_1a_1+1_1a_2+1_1a_3;0.000225;Q14_7;YES;Amont_C;1.31;0.0306;0.412;1.18
sim_0009;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_0;0.497;Q14_7;YES;Amont_C, Syst_Est_amont;1.34;0.0295;0.416;0
sim_0010;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1;0.086904;Q14_7;YES;Amont_C;1.34;0.0295;0.416;0.0798
sim_0011;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_2;0.086904;Q14_7;YES;Amont_C, Syst_Est_amont;1.34;0.0221;0.416;0.00278
sim_0012;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_3;0.020519;Q14_7;YES;Amont_C, Syst_Est_amont;1.31;0.0311;0.413;0.833
sim_0013;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1+1_1b_2;0.015336;Q14_7;YES;Amont_C;1.34;0.0295;0.416;0.0593
sim_0014;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1+1_1b_3;0.003621;Q14_7;YES;Amont_C;1.31;0.0312;0.413;0.909
sim_0015;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_2+1_1b_3;0.003621;Q14_7;YES;Amont_C, Syst_Est_amont;1.31;0.0179;0.413;0.218
sim_0016;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1+1_1b_2+1_1b_3;0.000639;Q14_7;YES;Amont_C;1.31;0.0311;0.413;0.49
sim_0017;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_0;0.0883575;Q14_7;YES;Amont_C;1.34;0.0295;0.416;0.43
sim_0018;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_1;0.01544994;Q14_7;YES;Amont_C;1.34;0.0295;0.416;0.418
sim_0019;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_2;0.01544994;Q14_7;YES;Amont_C;1.34;0.0295;0.416;0.422
sim_0020;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_3;0.0036479025;Q14_7;YES;Amont_C;1.31;0.0311;0.413;1.45
sim_0021;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2;0.00272646;Q14_7;YES;Amont_C;1.34;0.0295;0.416;0.414
sim_0022;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3;0.0006437475;Q14_7;YES;Amont_C;1.31;0.0311;0.413;1.42
sim_0023;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3;0.0006437475;Q14_7;YES;Amont_C;1.31;0.0311;0.413;1.05
sim_0024;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2+1_1b_3;0.0001136025;Q14_7;YES;Amont_C;1.31;0.0311;0.413;1.13
sim_0025;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_0;0.0883575;Q14_7;YES;Amont_C, Syst_Est_amont;1.34;0.0222;0.416;0.0147
sim_0026;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_1;0.01544994;Q14_7;YES;Amont_C;1.34;0.0295;0.416;0.0691
sim_0027;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_2;0.01544994;Q14_7;YES;Amont_C, Syst_Est_amont;1.34;0.0225;0.416;0.0131
