simulation_id;case_directory;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_0001;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1a\sim_0001;scenario1;1_1a;1_1a-1_1a_0;0.715275;Q14_7;NO;;1.37794;0.0331903;0.406688;0
sim_0002;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1a\sim_0002;scenario1;1_1a;1_1a-1_1a_1;0.126225;Q14_7;NO;;1.37794;0.0331903;0.406688;0
sim_0003;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1a\sim_0003;scenario1;1_1a;1_1a-1_1a_2;0.126225;Q14_7;NO;;1.37794;0.0331903;0.406688;0
sim_0004;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1a\sim_0004;scenario1;1_1a;1_1a-1_1a_3;0.007225;Q14_7;NO;;1.35095;0.0338254;0.404057;1.22971
sim_0005;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1a\sim_0005;scenario1;1_1a;1_1a-1_1a_1+1_1a_2;0.022275;Q14_7;NO;;1.37794;0.0331903;0.406688;0
sim_0006;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1a\sim_0006;scenario1;1_1a;1_1a-1_1a_1+1_1a_3;0.001275;Q14_7;NO;;1.28461;0.0303191;0.401795;0.890711
sim_0007;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1a\sim_0007;scenario1;1_1a;1_1a-1_1a_2+1_1a_3;0.001275;Q14_7;NO;;1.28855;0.0317648;0.403679;0.682585
sim_0008;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1a\sim_0008;scenario1;1_1a;1_1a-1_1a_1+1_1a_2+1_1a_3;0.000225;Q14_7;NO;;1.28716;0.0312259;0.401766;0.602649
sim_0009;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1b\sim_0009;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_0;0.49611474;Q14_7;NO;;1.37794;0.0331903;0.406688;0
sim_0010;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1b\sim_0010;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1;0.08754966;Q14_7;NO;;1.37794;0.0331903;0.406688;0
sim_0011;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1b\sim_0011;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_2;0.08754966;Q14_7;NO;;1.37794;0.0331903;0.406688;0
sim_0012;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1b\sim_0012;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_3;0.0206714475;Q14_7;NO;;1.41544;0.0341953;0.404588;0.889052
sim_0013;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1b\sim_0013;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1+1_1b_2;0.01544994;Q14_7;NO;;1.37794;0.0331903;0.406688;0
sim_0014;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1b\sim_0014;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1+1_1b_3;0.0036479025;Q14_7;NO;;1.33977;0.0336132;0.404734;0.500933
sim_0015;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1b\sim_0015;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_2+1_1b_3;0.0036479025;Q14_7;NO;;1.29645;0.031756;0.405495;0.394201
sim_0016;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1b\sim_0016;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1+1_1b_2+1_1b_3;0.0006437475;Q14_7;NO;;1.2971;0.0318182;0.405645;0.302699
sim_0017;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1b\sim_0017;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_0;0.08754966;Q14_7;NO;;1.37794;0.0331903;0.406688;0
sim_0018;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1b\sim_0018;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_1;0.01544994;Q14_7;NO;;1.37794;0.0331903;0.406688;0
sim_0019;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1b\sim_0019;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_2;0.01544994;Q14_7;NO;;1.37794;0.0331903;0.406688;0
sim_0020;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1b\sim_0020;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_3;0.0036479025;Q14_7;NO;;1.4246;0.0343335;0.404577;0.665735
sim_0021;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_1b\sim_0021;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2;0.00272646;Q14_7;NO;;1.37794;0.0331903;0.406688;0
