simulation_id;case_directory;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;swmm_instability_warning;swmm_not_converging_percent;swmm_instability_elements;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_0001;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1a\sim_0001;scenario1;1_1a;1_1a-1_1a_0;0.715275;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0002;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1a\sim_0002;scenario1;1_1a;1_1a-1_1a_1;0.126225;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0003;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1a\sim_0003;scenario1;1_1a;1_1a-1_1a_2;0.126225;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0004;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1a\sim_0004;scenario1;1_1a;1_1a-1_1a_3;0.007225;T3;NO;;YES;50.22;Node Brunnm_Fassung (50.22%), Node Brunnmuehle(Teich) (50.22%), Node Fensterstollen (50.22%), Node Gischeren (50.22%), Node Schuettstein (50.22%);1.37755;0.0334367;0.406249;0.189361
sim_0005;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1a\sim_0005;scenario1;1_1a;1_1a-1_1a_1+1_1a_2;0.022275;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0006;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1a\sim_0006;scenario1;1_1a;1_1a-1_1a_1+1_1a_3;0.001275;T3;NO;;YES;50.31;Node Brunnm_Fassung (50.31%), Node Brunnmuehle(Teich) (50.31%), Node Fensterstollen (50.31%), Node Gischeren (50.31%), Node Schuettstein (50.31%);1.40734;0.0336434;0.406235;0.153642
sim_0007;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1a\sim_0007;scenario1;1_1a;1_1a-1_1a_2+1_1a_3;0.001275;T3;NO;;YES;49.56;Node Brunnm_Fassung (49.56%), Node Brunnmuehle(Teich) (49.56%), Node Fensterstollen (49.56%), Node Gischeren (49.56%), Node Schuettstein (49.56%);1.43113;0.0338147;0.406222;0.127997
sim_0008;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1a\sim_0008;scenario1;1_1a;1_1a-1_1a_1+1_1a_2+1_1a_3;0.000225;T3;NO;;YES;50.4;Node Brunnm_Fassung (50.40%), Node Brunnmuehle(Teich) (50.40%), Node Fensterstollen (50.40%), Node Gischeren (50.40%), Node Schuettstein (50.40%);1.44584;0.0339851;0.40621;0.111312
sim_0009;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0009;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_0;0.49611474;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0010;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0010;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1;0.08754966;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
