simulation_id;case_directory;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_0001;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1a\sim_0001;scenario1;1_1a;1_1a-1_1a_0;0.715275;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0002;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1a\sim_0002;scenario1;1_1a;1_1a-1_1a_1;0.126225;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0003;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1a\sim_0003;scenario1;1_1a;1_1a-1_1a_2;0.126225;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0004;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1a\sim_0004;scenario1;1_1a;1_1a-1_1a_3;0.007225;T30;NO;;1.68396;0.0298192;0.496413;1.27735
sim_0005;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1a\sim_0005;scenario1;1_1a;1_1a-1_1a_1+1_1a_2;0.022275;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0006;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1a\sim_0006;scenario1;1_1a;1_1a-1_1a_1+1_1a_3;0.001275;T30;NO;;1.69383;0.0308525;0.496418;0.938262
sim_0007;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1a\sim_0007;scenario1;1_1a;1_1a-1_1a_2+1_1a_3;0.001275;T30;NO;;1.53409;0.0261109;0.492781;0.716968
sim_0008;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1a\sim_0008;scenario1;1_1a;1_1a-1_1a_1+1_1a_2+1_1a_3;0.000225;T30;NO;;1.53358;0.0251665;0.492619;0.592488
sim_0009;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0009;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_0;0.49611474;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0010;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0010;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1;0.08754966;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0011;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0011;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_2;0.08754966;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0012;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0012;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_3;0.0206714475;T30;NO;;1.64305;0.0370938;0.496383;0.825644
sim_0013;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0013;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1+1_1b_2;0.01544994;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0014;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0014;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1+1_1b_3;0.0036479025;T30;NO;;1.75606;0.0305998;0.497236;0.42258
sim_0015;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0015;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_2+1_1b_3;0.0036479025;T30;NO;;1.54102;0.027355;0.497708;0.32223
sim_0016;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0016;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1+1_1b_2+1_1b_3;0.0006437475;T30;NO;;1.53838;0.0263046;0.497933;0.240347
sim_0017;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0017;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_0;0.08754966;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0018;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0018;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_1;0.01544994;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0019;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0019;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_2;0.01544994;T30;NO;;1.64788;0.0292293;0.49992;0
sim_0020;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0020;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_3;0.0036479025;T30;NO;;1.63109;0.0351084;0.496585;0.613528
sim_0021;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T30\1_1b\sim_0021;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2;0.00272646;T30;NO;;1.64788;0.0292293;0.49992;0
