conduit;from_node;to_node;shape;diameter_or_geom1_m;elevation_mean_m;elevation_from_m;elevation_to_m
17;21;38;CIRCULAR;0.6;410.0;400.0;420.0
Brunnmuehle_L;21;34;CIRCULAR;0.6;410.0;400.0;420.0
6;21;Sous_lacustre;CIRCULAR;0.2;414.6;400.0;429.2
16;11;51;CIRCULAR;0.33;415.0;410.0;420.0
53;38;11;CIRCULAR;0.46;415.0;420.0;410.0
Amont_L;Amont_C;51;CIRCULAR;3.0;419.0;418.0;420.0
47;51;40;CIRCULAR;0.22;419.5;420.0;419.0
54;Syst_Est_interm;Syst_Est_aval;CIRCULAR;1.5;419.5;410.0;429.0
48;Syst_Est_amont;Syst_Est_interm;CIRCULAR;1.0;420.0;430.0;410.0
5;11;2;CIRCULAR;0.18;424.0;410.0;438.0
7;34;4;CIRCULAR;0.5;424.0;420.0;428.0
46;40;56;CIRCULAR;0.6;424.5;419.0;430.0
Brunn_Fassung_L;34;Brunnm_Fassung;CIRCULAR;0.19;426.9;420.0;433.8
70;52;21;CIRCULAR;0.4;428.5;457.0;400.0
51;SS5;40;CIRCULAR;0.35;428.95;438.9;419.0
67;51;13;CIRCULAR;3.0;429.0;420.0;438.0
9;4;Sous_ecoul.;CIRCULAR;0.1;430.5;428.0;433.0
Brunn_Teich_L;4;Brunnmuehle(Teich);CIRCULAR;0.65;431.75;428.0;435.5
Sauser_L;56;Sauserquelle;CIRCULAR;1.0;432.775;430.0;435.55
22;12;40;CIRCULAR;0.35;434.0;449.0;419.0
13;51;12;CIRCULAR;0.35;434.5;420.0;449.0
27;SonSto_F;30;CIRCULAR;0.22;437.55;437.8;437.3
26;13;41;CIRCULAR;0.85;437.75;438.0;437.5
14;13;9;CIRCULAR;1.5;438.25;438.0;438.5
69;51;52;CIRCULAR;0.4;438.5;420.0;457.0
37;SS5;SonSto_SS5;CIRCULAR;3.0;439.1;438.9;439.3
10;SonSto_SS4;SS5;CIRCULAR;3.0;439.15;439.4;438.9
11;9;Holiloch_sonde;CIRCULAR;1.8;439.25;438.5;440.0
30;14;40;RECT_OPEN;4.0;442.0;465.0;419.0
24;51;14;RECT_OPEN;4.0;442.5;420.0;465.0
68;SonSto_F_sup;SonSto_F;CIRCULAR;3.0;442.9;448.0;437.8
SS6_L;SS6;SonSto_SS6;CIRCULAR;2.0;443.35;448.0;438.7
3;SS4;SonSto_SS4;CIRCULAR;1.0;443.7;448.0;439.4
SS3_L;SS3;SonSto_SS3;CIRCULAR;2.0;443.85;448.0;439.7
2;SS2;SonSto_SS2;CIRCULAR;2.0;444.75;448.0;441.5
61;41;SondeSchuettstein;CIRCULAR;0.53;448.25;437.5;459.0
15;Holiloch_sonde;6;CIRCULAR;1.9;449.0;440.0;458.0
4;54;2;CIRCULAR;0.19;450.5;463.0;438.0
71;13;53;RECT_CLOSED;3.0;452.5;438.0;467.0
34;9;15;CIRCULAR;0.55;455.25;438.5;472.0
23;50;SS3;CIRCULAR;0.3;455.5;463.0;448.0
75;54;SS4;CIRCULAR;0.25;455.5;463.0;448.0
25;13;8;RECT_OPEN;2.5;456.0;438.0;474.0
63;10;SS6;RECT_CLOSED;2.0;458.0;468.0;448.0
36;15;SonSto_F_sup;CIRCULAR;0.55;460.0;472.0;448.0
18;6;47;CIRCULAR;1.9;461.45;458.0;464.9
19;6;49;RECT_CLOSED;5.0;462.0;458.0;466.0
66;50;SondeGischeren;CIRCULAR;0.3;464.0;463.0;465.0
50;SondeSchuettstein;48;CIRCULAR;0.8;465.0;459.0;471.0
72;53;54;RECT_CLOSED;5.0;465.0;467.0;463.0
33;49;10;RECT_CLOSED;8.0;467.0;466.0;468.0
12;47;5;CIRCULAR;1.9;468.7;464.9;472.5
38;8;SondeGischeren;CIRCULAR;1.0;469.5;474.0;465.0
35;SondeGischeren;Gischeren_node;CIRCULAR;1.2;470.75;465.0;476.5
21;5;7;CIRCULAR;5.0;473.75;472.5;475.0
Schuettstein_L;48;Schuettstein;CIRCULAR;0.5;474.275;471.0;477.55
31;8;Gischeren_node;RECT_CLOSED;5.0;475.25;474.0;476.5
Hooliloch_L;7;Holiloch;RECT_TRIANGULAR;4.0;475.75;475.0;476.5
Gischeren_L;Gischeren_node;Gischeren;CIRCULAR;1.2;478.25;476.5;480.0
